input_name,input_url,profile_name,first_name,last_name,profile_url,secondary_occupation,sub_speciality_occupations,main_primary_occupation,job_title,alternative_job_title,address,city,state,active_certifications_licenses,other_licenses,board_certification,screenshot_file,scrape_status,scrape_notes
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Mark D. Abel,Mark,Abel,https://www.doximity.com/pub/mark-abel-md-d182cd2c,Oral & Maxillofacial Surgery,,,MD,Physician,"27 Sagamore St, Manchester, NH 03104",Manchester,NH,NH State Medical License [2009 - 2028],"Perelman School of Medicine at the University of Pennsylvania - Class of 2006, MD, Harvard School of Dental Medicine - DMD, Dentistry, 2003, Manchester Oral Surgery Joins Delta Dental Network to Expand Access to Oral Surgery Services - September 30th, 2025",American Board of Oral and Maxillofacial Surgery - Oral and Maxillofacial Surgery,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Mark_Abel_mark-abel-md-d182cd2c.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Anayo Obi Adachie,Anayo,Adachie,https://www.doximity.com/pub/anayo-adachie-md,Oral & Maxillofacial Surgery,Pediatric Craniomaxillofacial Surgery,Pediatric Craniomaxillofacial Surgery,Associate Professor Oral &amp; Maxillofacial Surgery Rutgers University Hospital RobertWood Johnson University Hospital Saint Peter’s University Hospital,Associate Professor Oral &amp; Maxillofacial Surgery Rutgers University Hospital RobertWood Johnson University Hospital Saint Peter’s University Hospital,"Rutgers University Health Associates, 135 Somerset Street, Suite A, New Brunswick, NJ 08901",New Brunswick,NJ,"NY State Medical License [2007 - 2028], NJ State Medical License [2014 - 2027]",Albert Einstein College of Medicine - Class of 2010,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Anayo_Adachie_anayo-adachie-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Nathan Grant Adams,Nathan,Adams,https://www.doximity.com/pub/nathan-adams-md-8846,Oral & Maxillofacial Surgery,,,MD,Physician,"3920 S 1100 E, Ste 150, Salt Lake City, UT 84124",Salt Lake City,UT,UT State Medical License [2011 - 2028],Mayo Clinic College of Medicine - Class of 2010,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Nathan_Adams_nathan-adams-md-8846.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Rocco Raffaele Addante,Rocco,Addante,https://www.doximity.com/pub/rocco-addante-md,Oral & Maxillofacial Surgery,,,"Professor, Surgery, Geisel School of Medicine","Professor, Surgery, Geisel School of Medicine","1 Medical Center Drive, Lebanon, NH 03756",Lebanon,NH,"MA State Medical License [1975 - 2028], NH State Medical License [1980 - 2028], VT State Medical License [1981 - 2027]",Harvard Medical School - Class of 1975,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Rocco_Addante_rocco-addante-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Alex Afshar,Alex,Afshar,https://www.doximity.com/pub/alex-afshar-md,Oral & Maxillofacial Surgery,"Maxillofacial Oncology & Reconstructive Surgery, Maxillofacial Trauma","Maxillofacial Oncology & Reconstructive Surgery, Maxillofacial Trauma",MD,Physician,"45 Reade Pl, Fl 3, Poughkeepsie, NY 12601",Poughkeepsie,NY,"NY State Medical License [2024 - 2027], CT State Medical License [2024 - 2026]","LSU School of Medicine in Shreveport - Class of 2019, Living Healthy in the Danbury Area - November 24th, 2025",NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Alex_Afshar_alex-afshar-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Kristi Agari,Kristi,Agari,https://www.doximity.com/pub/kristi-agari-md,Oral & Maxillofacial Surgery,Maxillofacial Trauma,Maxillofacial Trauma,MD,Physician,"2051 Marengo St, Los Angeles, CA 90033",Los Angeles,CA,,Keck School of Medicine of the University of Southern California - Class of 2021,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Kristi_Agari_kristi-agari-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Vickas Agarwal,Vickas,Agarwal,https://www.doximity.com/pub/vickas-agarwal-md,Oral & Maxillofacial Surgery,,,MD,Physician,"8503 Patterson Ave, Henrico, VA 23229",Henrico,VA,VA State Medical License [2017 - 2028],University of Texas Southwestern Medical School - Class of 2020,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Vickas_Agarwal_vickas-agarwal-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Tara L Aghaloo,Tara,Aghaloo,https://www.doximity.com/pub/tara-aghaloo-md,Oral & Maxillofacial Surgery,,,"Assistant Professor, Geriatric Medicine; Member, JCCC Signal Transduction","Assistant Professor, Geriatric Medicine; Member, JCCC Signal Transduction","10833 Le Conte Ave, Room A0-156, Los Angeles, CA 90095",Los Angeles,CA,CA State Medical License [1995 - 2028],"David Geffen School of Medicine at UCLA - Class of 1994, More Than 300 UCLA Health Care Providers Treat the Homeless at Care Harbor Free Clinic - November 21st, 2019",NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Tara_Aghaloo_tara-aghaloo-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Arsalan Ahani,Arsalan,Ahani,https://www.doximity.com/pub/arsalan-ahani-md,Oral & Maxillofacial Surgery,Maxillofacial Trauma,Maxillofacial Trauma,MD,Physician,"30 N San Mateo Dr, San Mateo, CA 94401",San Mateo,CA,CA State Medical License [1995 - 2028],University of California San Francisco School of Medicine - Class of 1999,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Arsalan_Ahani_arsalan-ahani-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Zohaib Ahmed,Zohaib,Ahmed,https://www.doximity.com/pub/zohaib-ahmed-md-dd00fd8c,Oral & Maxillofacial Surgery,"Maxillofacial Oncology & Reconstructive Surgery, Maxillofacial Trauma, Facial Cosmetic Surgery","Maxillofacial Oncology & Reconstructive Surgery, Maxillofacial Trauma, Facial Cosmetic Surgery",MD,Physician,"653 8th Street West, Jacksonville, FL 32209",Jacksonville,FL,,University of Florida College of Medicine - Class of 2025,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Zohaib_Ahmed_zohaib-ahmed-md-dd00fd8c.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Junil Ahn,Junil,Ahn,https://www.doximity.com/pub/junil-ahn-md,Oral & Maxillofacial Surgery,,,MD,Physician,"15 Mareblu, Suite 300, Aliso Viejo, CA 92656",Aliso Viejo,CA,,"University of California, Davis, School of Medicine - Class of 2003",NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Junil_Ahn_junil-ahn-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Eyal Akerman,Eyal,Akerman,https://www.doximity.com/pub/eyal-akerman-md,Oral & Maxillofacial Surgery,,,MD,Physician,"1500 E Medical Center Dr, Ann Arbor, MI 48109",Ann Arbor,MI,MI State Medical License [2024 - 2026],Semmelweis University,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Eyal_Akerman_eyal-akerman-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Jared Akers,Jared,Akers,https://www.doximity.com/pub/jared-akers-md,Oral & Maxillofacial Surgery,,,MD,Physician,"12231 Bernard Pkwy, Gulfport, MS 39503",Gulfport,MS,MS State Medical License [2020 - 2027],University of Mississippi School of Medicine - Class of 2020,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Jared_Akers_jared-akers-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Richard Tipery Akin,Richard,Akin,https://www.doximity.com/pub/richard-akin-md,Oral & Maxillofacial Surgery,,,MD,Physician,"614 Connell Park Ln, Baton Rouge, LA 70806",Baton Rouge,LA,"LA State Medical License [1998 - 2027], MS State Medical License [2004 - 2027]",Louisiana State University School of Medicine in New Orleans - Class of 2004,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Richard_Akin_richard-akin-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Al Haitham Al Shetawi II,Al,II,https://www.doximity.com/pub/al-haitham-al-shetawi-md,Oral & Maxillofacial Surgery,Maxillofacial Oncology & Reconstructive Surgery,Maxillofacial Oncology & Reconstructive Surgery,Head and Neck Surgical Oncology and Microvascular Reconstruction,Head and Neck Surgical Oncology and Microvascular Reconstruction,"45 Reade Pl, # Dyson, Poughkeepsie, NY 12601",Poughkeepsie,NY,NY State Medical License [2015 - 2027],"Albert Einstein College of Medicine - Class of 2012, Oral Cancer 101: A Guide to Risks, Symptoms and Treatments - 4/5/2018, Initial Evaluation and Management of Maxillofacial Injuries - 1/11/2016",American Board of Oral and Maxillofacial Surgery - Oral and Maxillofacial Surgery,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Al_II_al-haitham-al-shetawi-md.png,ok,
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery,Dalal Alajmi,Dalal,Alajmi,https://www.doximity.com/pub/dalal-alajmi-md,Oral & Maxillofacial Surgery,,,MD,Physician,"9601 Chester Ave, Cleveland, OH 44106",Cleveland,OH,,,NULL,C:\Users\Administrator\Downloads\D_screenshots\Oral_Maxillofacial_Surgery\Dalal_Alajmi_dalal-alajmi-md.png,ok,
