name,url
Allergy & Immunology,https://www.doximity.com/directory/md/specialty/allergy-immunology
Anesthesiology,https://www.doximity.com/directory/md/specialty/anesthesiology
Cardiology,https://www.doximity.com/directory/md/specialty/cardiology
Child Neurology,https://www.doximity.com/directory/md/specialty/child-neurology
Colon & Rectal Surgery,https://www.doximity.com/directory/md/specialty/colon-rectal-surgery
Dermatology,https://www.doximity.com/directory/md/specialty/dermatology
Emergency Medicine,https://www.doximity.com/directory/md/specialty/emergency-medicine
Endocrinology,https://www.doximity.com/directory/md/specialty/endocrinology
Family Medicine,https://www.doximity.com/directory/md/specialty/family-medicine
Gastroenterology,https://www.doximity.com/directory/md/specialty/gastroenterology
General Surgery,https://www.doximity.com/directory/md/specialty/general-surgery
Geriatrics,https://www.doximity.com/directory/md/specialty/geriatrics
Hematology,https://www.doximity.com/directory/md/specialty/hematology
Infectious Disease,https://www.doximity.com/directory/md/specialty/infectious-disease
Internal Medicine,https://www.doximity.com/directory/md/specialty/internal-medicine
Interventional Radiology,https://www.doximity.com/directory/md/specialty/interventional-radiology
Medical Genetics,https://www.doximity.com/directory/md/specialty/medical-genetics
Medicine/Pediatrics,https://www.doximity.com/directory/md/specialty/medicine%2Fpediatrics
Neonat/Perinatology,https://www.doximity.com/directory/md/specialty/neonat%2Fperinatology
Nephrology,https://www.doximity.com/directory/md/specialty/nephrology
Neurology,https://www.doximity.com/directory/md/specialty/neurology
Neurosurgery,https://www.doximity.com/directory/md/specialty/neurosurgery
Nuclear Medicine,https://www.doximity.com/directory/md/specialty/nuclear-medicine
Obstetrics & Gynecology,https://www.doximity.com/directory/md/specialty/obstetrics-gynecology
Occupational Medicine,https://www.doximity.com/directory/md/specialty/occupational-medicine
Oncology,https://www.doximity.com/directory/md/specialty/oncology
Ophthalmology,https://www.doximity.com/directory/md/specialty/ophthalmology
Oral & Maxillofacial Surgery,https://www.doximity.com/directory/md/specialty/oral-maxillofacial-surgery
Orthopaedic Surgery,https://www.doximity.com/directory/md/specialty/orthopaedic-surgery
Other MD/DO,https://www.doximity.com/directory/md/specialty/other-md%2Fdo
Otolaryngology (ENT),https://www.doximity.com/directory/md/specialty/otolaryngology-ent
Pathology,https://www.doximity.com/directory/md/specialty/pathology
Pediatric (General) Surgery,https://www.doximity.com/directory/md/specialty/pediatric-surgery
Pediatric Cardiology,https://www.doximity.com/directory/md/specialty/pediatric-cardiology
Pediatric Emergency Medicine,https://www.doximity.com/directory/md/specialty/pediatric-emergency-medicine
Pediatric Endocrinology,https://www.doximity.com/directory/md/specialty/pediatric-endocrinology
Pediatric Gastroenterology,https://www.doximity.com/directory/md/specialty/pediatric-gastroenterology
Pediatric Hematology & Oncology,https://www.doximity.com/directory/md/specialty/pediatric-hematology-oncology
Pediatric Infectious Disease,https://www.doximity.com/directory/md/specialty/pediatric-infectious-disease
Pediatric Nephrology,https://www.doximity.com/directory/md/specialty/pediatric-nephrology
Pediatric Pulmonology,https://www.doximity.com/directory/md/specialty/pediatric-pulmonology
Pediatric Rheumatology,https://www.doximity.com/directory/md/specialty/pediatric-rheumatology
Pediatrics,https://www.doximity.com/directory/md/specialty/pediatrics
Physical Medicine/Rehab,https://www.doximity.com/directory/md/specialty/physical-medicine%2Frehab
Plastic Surgery,https://www.doximity.com/directory/md/specialty/plastic-surgery
Preventive Medicine,https://www.doximity.com/directory/md/specialty/preventive-medicine
Psychiatry,https://www.doximity.com/directory/md/specialty/psychiatry
Pulmonology,https://www.doximity.com/directory/md/specialty/pulmonology
Radiation Oncology,https://www.doximity.com/directory/md/specialty/radiation-oncology
Radiology,https://www.doximity.com/directory/md/specialty/radiology
Research,https://www.doximity.com/directory/md/specialty/research
Resident Physician,https://www.doximity.com/directory/md/specialty/resident-physician
Rheumatology,https://www.doximity.com/directory/md/specialty/rheumatology
Thoracic Surgery,https://www.doximity.com/directory/md/specialty/thoracic-surgery
Urology,https://www.doximity.com/directory/md/specialty/urology
Vascular Surgery,https://www.doximity.com/directory/md/specialty/vascular-surgery
