City,ZIP_Code,County,State
Alameda,94501,Alameda,California
Alameda,94502,Alameda,California
Fremont,94536,Alameda,California
Fremont,94537,Alameda,California
Fremont,94538,Alameda,California
Fremont,94539,Alameda,California
Hayward,94540,Alameda,California
Hayward,94541,Alameda,California
Hayward,94542,Alameda,California
Hayward,94543,Alameda,California
Hayward,94544,Alameda,California
Hayward,94545,Alameda,California
Castro Valley,94546,Alameda,California
Livermore,94550,Alameda,California
Livermore,94551,Alameda,California
Castro Valley,94552,Alameda,California
Fremont,94555,Alameda,California
Hayward,94557,Alameda,California
Newark,94560,Alameda,California
Pleasanton,94566,Alameda,California
Dublin,94568,Alameda,California
San Leandro,94577,Alameda,California
San Leandro,94578,Alameda,California
San Leandro,94579,Alameda,California
San Lorenzo,94580,Alameda,California
Sunol,94586,Alameda,California
Union City,94587,Alameda,California
Pleasanton,94588,Alameda,California
Oakland,94601,Alameda,California
Oakland,94602,Alameda,California
Oakland,94603,Alameda,California
Oakland,94604,Alameda,California
Oakland,94605,Alameda,California
Oakland,94606,Alameda,California
Oakland,94607,Alameda,California
Emeryville,94608,Alameda,California
Oakland,94609,Alameda,California
Oakland,94610,Alameda,California
Oakland,94611,Alameda,California
Oakland,94612,Alameda,California
Oakland,94613,Alameda,California
Oakland,94614,Alameda,California
Oakland,94615,Alameda,California
Oakland,94617,Alameda,California
Oakland,94618,Alameda,California
Oakland,94619,Alameda,California
Piedmont,94620,Alameda,California
Oakland,94621,Alameda,California
Oakland,94622,Alameda,California
Oakland,94623,Alameda,California
Oakland,94624,Alameda,California
Oakland,94625,Alameda,California
Oakland,94649,Alameda,California
Oakland,94659,Alameda,California
Oakland,94660,Alameda,California
Oakland,94661,Alameda,California
Emeryville,94662,Alameda,California
Oakland,94666,Alameda,California
Berkeley,94701,Alameda,California
Berkeley,94702,Alameda,California
Berkeley,94703,Alameda,California
Berkeley,94704,Alameda,California
Berkeley,94705,Alameda,California
Albany,94706,Alameda,California
Berkeley,94707,Alameda,California
Berkeley,94708,Alameda,California
Berkeley,94709,Alameda,California
Berkeley,94710,Alameda,California
Berkeley,94712,Alameda,California
Berkeley,94720,Alameda,California
Markleeville,96120,Alpine,California
South Lake Tahoe,96156,Alpine,California
Amador City,95601,Amador,California
Fiddletown,95629,Amador,California
Ione,95640,Amador,California
Jackson,95642,Amador,California
Kirkwood,95646,Amador,California
Martell,95654,Amador,California
Pine Grove,95665,Amador,California
Pioneer,95666,Amador,California
Plymouth,95669,Amador,California
River Pines,95675,Amador,California
Sutter Creek,95685,Amador,California
Volcano,95689,Amador,California
Drytown,95699,Amador,California
Bangor,95914,Butte,California
Berry Creek,95916,Butte,California
Biggs,95917,Butte,California
Chico,95926,Butte,California
Chico,95927,Butte,California
Chico,95928,Butte,California
Chico,95929,Butte,California
Clipper Mills,95930,Butte,California
Durham,95938,Butte,California
Feather Falls,95940,Butte,California
Forbestown,95941,Butte,California
Forest Ranch,95942,Butte,California
Gridley,95948,Butte,California
Magalia,95954,Butte,California
Nelson,95958,Butte,California
Oroville,95965,Butte,California
Oroville,95966,Butte,California
Paradise,95967,Butte,California
Palermo,95968,Butte,California
Paradise,95969,Butte,California
Chico,95973,Butte,California
Richvale,95974,Butte,California
Chico,95976,Butte,California
Stirling City,95978,Butte,California
Altaville,95221,Calaveras,California
Angels Camp,95222,Calaveras,California
Arnold,95223,Calaveras,California
Avery,95224,Calaveras,California
Burson,95225,Calaveras,California
Campo Seco,95226,Calaveras,California
Copperopolis,95228,Calaveras,California
Douglas Flat,95229,Calaveras,California
Glencoe,95232,Calaveras,California
Hathaway Pines,95233,Calaveras,California
Mokelumne Hill,95245,Calaveras,California
Mountain Ranch,95246,Calaveras,California
Murphys,95247,Calaveras,California
Rail Road Flat,95248,Calaveras,California
San Andreas,95249,Calaveras,California
San Andreas,95250,Calaveras,California
Vallecito,95251,Calaveras,California
Valley Springs,95252,Calaveras,California
Wallace,95254,Calaveras,California
West Point,95255,Calaveras,California
Wilseyville,95257,Calaveras,California
Arbuckle,95912,Colusa,California
Colusa,95932,Colusa,California
Grimes,95950,Colusa,California
Maxwell,95955,Colusa,California
Stonyford,95979,Colusa,California
Williams,95987,Colusa,California
Discovery Bay,94505,Contra Costa,California
Danville,94506,Contra Costa,California
Alamo,94507,Contra Costa,California
Antioch,94509,Contra Costa,California
Bethel Island,94511,Contra Costa,California
Brentwood,94513,Contra Costa,California
Byron,94514,Contra Costa,California
Canyon,94516,Contra Costa,California
Clayton,94517,Contra Costa,California
Concord,94518,Contra Costa,California
Concord,94519,Contra Costa,California
Concord,94520,Contra Costa,California
Concord,94521,Contra Costa,California
Concord,94522,Contra Costa,California
Pleasant Hill,94523,Contra Costa,California
Concord,94524,Contra Costa,California
Crockett,94525,Contra Costa,California
Danville,94526,Contra Costa,California
Concord,94527,Contra Costa,California
Diablo,94528,Contra Costa,California
Concord,94529,Contra Costa,California
El Cerrito,94530,Contra Costa,California
Antioch,94531,Contra Costa,California
Hercules,94547,Contra Costa,California
Knightsen,94548,Contra Costa,California
Lafayette,94549,Contra Costa,California
Martinez,94553,Contra Costa,California
Moraga,94556,Contra Costa,California
Oakley,94561,Contra Costa,California
Orinda,94563,Contra Costa,California
Pinole,94564,Contra Costa,California
Pittsburg,94565,Contra Costa,California
